config,business_category,n_records,mrr,ndcg_at_10,fpr_on_novel,top1_failure_id,top1_failure_idea,top1_failure_score,top2_failure_id,top2_failure_idea,top2_failure_score,top3_failure_id,top3_failure_idea,top3_failure_score,notes
dense_bge_m3,devtools,15,0.8000,0.8000,1.0000,ev-232,Uber for on-demand horse logging services in the Carpathians,0.8123,ev-091,"Version-control platform for biotech wet-lab protocols, with branching for failed experiments",0.8232,ev-092,"Version-control platform for screenplays, with side-by-side diff and alternate-ending branches",0.8454,"deterministic-rule-based-v1; n=15 (n_relevant=10, n_novel=5)"
dense_bge_m3,marketplace,46,0.0000,0.0000,1.0000,ev-064,Directory of Wizard-of-Oz-themed escape rooms with difficulty ratings and group booking,0.7617,ev-195,Booking platform for hot-air balloon rides over the Cappadocia fairy chimneys at sunrise,0.7966,ev-203,Booking platform for traditional Korean hanok village overnight stays,0.7968,"deterministic-rule-based-v1; n=46 (n_relevant=0, n_novel=46)"
dense_bge_m3,fintech,23,0.2000,0.2000,1.0000,ev-067,Subscription lending library of adaptive toys for children with disabilities,0.8172,ev-260,Stripe for split-tender payments at restaurants with multiple concepts,0.8252,ev-252,Stripe for marketplace seller payouts with embedded KYC,0.8304,"deterministic-rule-based-v1; n=23 (n_relevant=5, n_novel=18)"
dense_bge_m3,healthcare,9,0.0000,0.0000,1.0000,ev-096,Topic-organized group chat for hospital clinical teams with HIPAA-grade audit trails,0.8116,ev-266,Zoom for telehealth group therapy sessions with billing,0.8168,ev-262,Calendly for veterinary clinic appointment scheduling,0.8255,"deterministic-rule-based-v1; n=9 (n_relevant=3, n_novel=6)"
dense_bge_m3,education,6,0.0000,0.0000,1.0000,ev-173,Online course teaching classical Ottoman Turkish calligraphy,0.8076,ev-060,Citizen-science app for reporting bird-window collisions to help architects design safer buildings,0.8103,ev-098,Cohort-based online school for working professionals with live workshops and project grading,0.8708,"deterministic-rule-based-v1; n=6 (n_relevant=2, n_novel=4)"
dense_bge_m3,other,172,0.6517,0.6645,1.0000,ev-248,Taskrabbit for one-off hand-forged Damascus steel knife commissions,0.7467,ev-227,Tool for ranking the best spots to hear Aurora Borealis in northern Norway,0.7613,ev-201,Subscription for hand-tied fishing flies tied by retired Scottish ghillies,0.7658,"deterministic-rule-based-v1; n=172 (n_relevant=67, n_novel=105)"
hybrid_rrf,b2b_saas,11,0.2222,0.2222,1.0000,ev-084,Fleet management software for autonomous sidewalk delivery robots on hospital campuses,0.8258,ev-261,Shopify for B2B wholesale order management at craft breweries,0.8280,ev-001,Spreadsheet copilot that writes formulas and pulls data into your sheets on demand,0.8137,"deterministic-rule-based-v1; n=11 (n_relevant=9, n_novel=2)"
hybrid_rrf,consumer,18,0.5000,0.5000,1.0000,ev-224,Subscription box for rare heirloom Andean tuber varieties from Peruvian smallholders,0.7568,ev-178,Subscription box for artisanal goat cheese from the Pyrenees,0.7578,ev-204,Subscription box for cold-pressed camelina oil from Nordic smallholders,0.7616,"deterministic-rule-based-v1; n=18 (n_relevant=4, n_novel=14)"
hybrid_rrf,devtools,15,0.5700,0.6018,1.0000,ev-232,Uber for on-demand horse logging services in the Carpathians,0.8123,ev-093,"Version-control platform for restaurant recipes, with allergen-aware merges and provenance tracking",0.8156,ev-091,"Version-control platform for biotech wet-lab protocols, with branching for failed experiments",0.8198,"deterministic-rule-based-v1; n=15 (n_relevant=10, n_novel=5)"
hybrid_rrf,marketplace,46,0.0000,0.0000,1.0000,ev-064,Directory of Wizard-of-Oz-themed escape rooms with difficulty ratings and group booking,0.7617,ev-226,Booking platform for kayak expeditions through remote Aleutian island kelp forests,0.7668,ev-069,On-demand locksmith service for venues with stuck or vandalized public pianos,0.7784,"deterministic-rule-based-v1; n=46 (n_relevant=0, n_novel=46)"
hybrid_rrf,fintech,23,0.2000,0.2000,1.0000,ev-100,Music streaming service that pays artists per-second and publishes listener data on-chain,0.7938,ev-291,Music streaming service that pays artists per-second and publishes listener data on-chain,0.7938,ev-097,Subscription rental marketplace for designer evening wear with peer-to-peer damage insurance,0.7997,"deterministic-rule-based-v1; n=23 (n_relevant=5, n_novel=18)"
hybrid_rrf,healthcare,9,0.0000,0.0000,1.0000,ev-096,Topic-organized group chat for hospital clinical teams with HIPAA-grade audit trails,0.8089,ev-266,Zoom for telehealth group therapy sessions with billing,0.8140,ev-280,GitHub for pharmaceutical-formulation versioning with regulatory hooks,0.8190,"deterministic-rule-based-v1; n=9 (n_relevant=3, n_novel=6)"
hybrid_rrf,education,6,0.0000,0.0000,1.0000,ev-173,Online course teaching classical Ottoman Turkish calligraphy,0.7891,ev-060,Citizen-science app for reporting bird-window collisions to help architects design safer buildings,0.8103,ev-098,Cohort-based online school for working professionals with live workshops and project grading,0.8708,"deterministic-rule-based-v1; n=6 (n_relevant=2, n_novel=4)"
hybrid_rrf,other,172,0.5238,0.5548,1.0000,ev-227,Tool for ranking the best spots to hear Aurora Borealis in northern Norway,0.7368,ev-248,Taskrabbit for one-off hand-forged Damascus steel knife commissions,0.7405,ev-244,Taskrabbit for restoring vintage Polaroid SX-70 cameras,0.7456,"deterministic-rule-based-v1; n=172 (n_relevant=67, n_novel=105)"
